Wave Data provided @ 10:50hrs on 27-06-2015
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction
Cairns,9,1434834000,2015-06-21T07:00:00,-16.7334700000,145.7096500000,0.6486000000000000,1.2000000000000000,3.5700000000000000,3.2260000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434835800,2015-06-21T07:30:00,-16.7335000000,145.7096100000,0.6544000000000000,1.0200000000000000,4.3500000000000000,3.2000000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434837600,2015-06-21T08:00:00,-16.7335200000,145.7096100000,0.6603000000000000,1.2800000000000000,4.1700000000000000,3.3060000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434839400,2015-06-21T08:30:00,-16.7335000000,145.7096100000,0.6388000000000000,1.0600000000000000,4.0000000000000000,3.3900000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434841200,2015-06-21T09:00:00,-16.7335100000,145.7096100000,0.7069000000000000,1.6100000000000000,4.1700000000000000,3.3060000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434843000,2015-06-21T09:30:00,-16.7335000000,145.7096100000,0.7740000000000000,1.2900000000000000,4.0000000000000000,3.1250000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434844800,2015-06-21T10:00:00,-16.7335000000,145.7096100000,0.7644000000000000,1.4300000000000000,4.1700000000000000,3.2260000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434846600,2015-06-21T10:30:00,-16.7335000000,145.7096100000,0.7947000000000000,1.4300000000000000,4.1700000000000000,3.4480000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434848400,2015-06-21T11:00:00,-16.7335100000,145.7096100000,0.8426000000000000,1.5700000000000000,4.5500000000000000,3.3900000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434850200,2015-06-21T11:30:00,-16.7334900000,145.7096100000,0.8296000000000000,1.4500000000000000,4.3500000000000000,3.4480000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434852000,2015-06-21T12:00:00,-16.7335000000,145.7096100000,0.8509000000000000,1.4200000000000000,4.1700000000000000,3.4190000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434853800,2015-06-21T12:30:00,-16.7334900000,145.7096500000,0.8739000000000000,1.4600000000000000,4.5500000000000000,3.4480000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434855600,2015-06-21T13:00:00,-16.7334900000,145.7096100000,0.8742000000000000,1.6400000000000000,4.3500000000000000,3.5090000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434857400,2015-06-21T13:30:00,-16.7334900000,145.7096100000,0.9013000000000000,1.5800000000000000,4.0000000000000000,3.4480000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434859200,2015-06-21T14:00:00,-16.7335000000,145.7095900000,0.8264000000000000,1.5500000000000000,4.3500000000000000,3.4190000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434861000,2015-06-21T14:30:00,-16.7334900000,145.7096100000,0.8076000000000000,1.3100000000000000,4.1700000000000000,3.3610000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434862800,2015-06-21T15:00:00,-16.7335200000,145.7096100000,0.8039000000000000,1.4000000000000000,4.0000000000000000,3.3330000000000000,24.3500000000000000,0.0000000000000000
Cairns,9,1434864600,2015-06-21T15:30:00,-16.7335000000,145.7096300000,0.8277000000000000,1.4900000000000000,4.1700000000000000,3.3060000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434866400,2015-06-21T16:00:00,-16.7335000000,145.7096300000,0.8182000000000000,1.5300000000000000,3.8500000000000000,3.3900000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434868200,2015-06-21T16:30:00,-16.7334900000,145.7096300000,0.7558000000000000,1.4000000000000000,3.5700000000000000,3.2790000000000000,24.3000000000000000,0.0000000000000000
Cairns,9,1434870000,2015-06-21T17:00:00,-16.7334900000,145.7096300000,0.7442000000000000,1.2300000000000000,4.1700000000000000,3.2520000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434871800,2015-06-21T17:30:00,-16.7334900000,145.7096300000,0.6979000000000000,1.1300000000000000,4.1700000000000000,3.2790000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434873600,2015-06-21T18:00:00,-16.7335000000,145.7096100000,0.6997000000000000,1.2100000000000000,4.1700000000000000,3.1500000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434875400,2015-06-21T18:30:00,-16.7335000000,145.7096300000,0.7181000000000000,1.1700000000000000,3.8500000000000000,3.2520000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434877200,2015-06-21T19:00:00,-16.7335200000,145.7096100000,0.7301000000000000,1.4400000000000000,4.5500000000000000,3.2520000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434879000,2015-06-21T19:30:00,-16.7335000000,145.7096100000,0.7705000000000000,1.3300000000000000,3.5700000000000000,3.2260000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434880800,2015-06-21T20:00:00,-16.7335000000,145.7096100000,0.8172000000000000,1.4100000000000000,4.0000000000000000,3.2520000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434882600,2015-06-21T20:30:00,-16.7335400000,145.7096100000,0.8709000000000000,1.3500000000000000,4.0000000000000000,3.2790000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434884400,2015-06-21T21:00:00,-16.7335400000,145.7096100000,0.7920000000000000,1.3100000000000000,4.0000000000000000,3.3060000000000000,24.2500000000000000,0.0000000000000000
Cairns,9,1434886200,2015-06-21T21:30:00,-16.7335200000,145.7096100000,0.8273000000000000,1.4400000000000000,4.0000000000000000,3.2260000000000000,24.2000000000000000,0.0000000000000000
Cairns,9,1434888000,2015-06-21T22:00:00,-16.7335100000,145.7095700000,0.7745000000000000,1.3100000000000000,3.8500000000000000,3.3330000000000000,24.1500000000000000,0.0000000000000000
Cairns,9,1434889800,2015-06-21T22:30:00,-16.7335000000,145.7096300000,0.7994000000000000,1.4200000000000000,3.7000000000000000,3.2260000000000000,24.1500000000000000,0.0000000000000000
Cairns,9,1434891600,2015-06-21T23:00:00,-16.7335000000,145.7096100000,0.7586000000000000,1.4500000000000000,3.8500000000000000,3.2790000000000000,24.1500000000000000,0.0000000000000000
Cairns,9,1434893400,2015-06-21T23:30:00,-16.7335000000,145.7096100000,0.7608000000000000,1.3100000000000000,4.0000000000000000,3.2520000000000000,24.1000000000000000,0.0000000000000000
Cairns,9,1434895200,2015-06-22T00:00:00,-16.7335100000,145.7096100000,0.7356000000000000,1.2100000000000000,3.4500000000000000,3.3060000000000000,24.0500000000000000,0.0000000000000000
Cairns,9,1434897000,2015-06-22T00:30:00,-16.7335000000,145.7096100000,0.7173000000000000,1.1600000000000000,4.0000000000000000,3.2520000000000000,24.0500000000000000,0.0000000000000000
Cairns,9,1434898800,2015-06-22T01:00:00,-16.7334900000,145.7096300000,0.6923000000000000,1.0900000000000000,3.5700000000000000,3.2520000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434900600,2015-06-22T01:30:00,-16.7334900000,145.7096500000,0.6470000000000000,1.0200000000000000,3.5700000000000000,3.2790000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434902400,2015-06-22T02:00:00,-16.7335000000,145.7096100000,0.6545000000000000,1.0800000000000000,3.5700000000000000,3.2790000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434904200,2015-06-22T02:30:00,-16.7335100000,145.7096500000,0.6028000000000000,0.9300000000000000,4.3500000000000000,3.3610000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434906000,2015-06-22T03:00:00,-16.7335100000,145.7096500000,0.6250000000000000,1.0900000000000000,3.8500000000000000,3.3060000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434907800,2015-06-22T03:30:00,-16.7335000000,145.7096500000,0.6468000000000000,1.0100000000000000,3.4500000000000000,3.2520000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434909600,2015-06-22T04:00:00,-16.7335000000,145.7096500000,0.6347000000000000,1.1900000000000000,3.8500000000000000,3.3060000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434911400,2015-06-22T04:30:00,-16.7335000000,145.7096500000,0.6563000000000000,1.2900000000000000,4.1700000000000000,3.2790000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434913200,2015-06-22T05:00:00,-16.7334900000,145.7096500000,0.6797000000000000,1.2500000000000000,4.5500000000000000,3.3060000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434915000,2015-06-22T05:30:00,-16.7335000000,145.7096300000,0.6664000000000000,1.1500000000000000,4.3500000000000000,3.3330000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434916800,2015-06-22T06:00:00,-16.7335000000,145.7096500000,0.6827000000000000,1.3100000000000000,3.7000000000000000,3.3330000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434918600,2015-06-22T06:30:00,-16.7334900000,145.7096500000,0.6620000000000000,1.1600000000000000,4.0000000000000000,3.4190000000000000,23.9000000000000000,0.0000000000000000
Cairns,9,1434920400,2015-06-22T07:00:00,-16.7334900000,145.7096500000,0.6513000000000000,1.1400000000000000,4.7600000000000000,3.3610000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434922200,2015-06-22T07:30:00,-16.7334900000,145.7096700000,0.6336000000000000,1.0200000000000000,3.7000000000000000,3.2520000000000000,23.9000000000000000,0.0000000000000000
Cairns,9,1434924000,2015-06-22T08:00:00,-16.7335000000,145.7096300000,0.6032000000000000,1.0600000000000000,4.5500000000000000,3.2520000000000000,23.9000000000000000,0.0000000000000000
Cairns,9,1434925800,2015-06-22T08:30:00,-16.7335100000,145.7096500000,0.5844000000000000,0.9700000000000000,4.7600000000000000,3.3330000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434927600,2015-06-22T09:00:00,-16.7335100000,145.7096500000,0.5772000000000000,0.9700000000000000,4.3500000000000000,3.3060000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434929400,2015-06-22T09:30:00,-16.7335000000,145.7096500000,0.5728000000000000,0.9000000000000000,3.5700000000000000,3.2790000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434931200,2015-06-22T10:00:00,-16.7334900000,145.7096500000,0.5449000000000000,0.9700000000000000,3.7000000000000000,3.2000000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434933000,2015-06-22T10:30:00,-16.7335000000,145.7096500000,0.5213000000000000,0.7600000000000000,8.3300000000000000,3.1250000000000000,23.9500000000000000,0.0000000000000000
Cairns,9,1434934800,2015-06-22T11:00:00,-16.7335000000,145.7096500000,0.5432000000000000,0.9800000000000000,3.7000000000000000,3.0770000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434936600,2015-06-22T11:30:00,-16.7335100000,145.7096100000,0.5877000000000000,1.1300000000000000,3.4500000000000000,3.0530000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434938400,2015-06-22T12:00:00,-16.7336000000,145.7095700000,0.6341000000000000,1.0600000000000000,3.4500000000000000,3.0080000000000000,24.0000000000000000,0.0000000000000000
Cairns,9,1434940200,2015-06-22T12:30:00,-16.7335200000,145.7096100000,0.6638000000000000,1.2200000000000000,3.5700000000000000,3.0530000000000000,24.0500000000000000,0.0000000000000000
Cairns,9,1434942000,2015-06-22T13:00:00,-16.7335200000,145.7096100000,0.6433000000000000,1.0500000000000000,3.7000000000000000,3.0770000000000000,24.1000000000000000,0.0000000000000000
Cairns,9,1434943800,2015-06-22T13:30:00,-16.7335400000,145.7095700000,0.6713000000000000,1.0100000000000000,3.7000000000000000,3.0530000000000000,24.1000000000000000,0.0000000000000000
Cairns,9,1434945600,2015-06-22T14:00:00,-16.7335300000,145.7095900000,0.6676000000000000,1.2400000000000000,3.8500000000000000,3.1010000000000000,24.1000000000000000,0.0000000000000000
